efield (kV/cm),t_ul (ps),z (A),g (cm/kA),fom* (eV ps A^2),Ediff (meV)
30.0,1.9548445953379,-35.506218333880184,80.96299589014475,51.6676763913657,74.59359652293014
50.0,3.948908083751173,-21.180980901763736,106.1283524879842,68.07420399489158,74.95015916415
10.0,2.8687250096692036,33.24054947649317,88.3654768844013,71.75500033368837,95.21593600059732
30.0,2.2075784110782406,-34.847008207626644,77.0523919379475,48.20726181312893,74.27340771993144
10.0,2.26006047998051,33.165731937306106,77.36876370649057,56.543828489960426,85.03798216977054
20.0,1.5086980918328996,-48.55939076897508,93.1543831978643,41.788324114782405,55.21267931916424
40.0,14.94114007084667,-9.974387150816758,108.79390160218772,47.47073434669464,54.163940697679465
50.0,0.6655389669357974,-59.156873637687475,99.5742031329972,45.096598343697735,55.59565093184551
50.0,23.386504277124963,-7.438566243494297,74.13764419805058,49.538286801673316,78.56414680420455
10.0,2.6218645028477257,33.89675468838514,85.93243187171663,61.46225741971371,85.39819651166813
20.0,2.259784031944285,-34.112168416205684,75.93369957208323,46.375637832252295,73.56240678226364
50.0,0.9225184430810572,-52.16423293314367,110.3066292365654,56.73790727992071,62.96278135565337
10.0,3.193734388191152,29.450609720716628,71.68921971591328,56.90090231677601,90.68682861924214
50.0,24.35678969306394,-8.966892544120778,119.2334124842572,70.46772470431966,68.7196333507517
10.0,3.637600784327848,28.535904011140733,71.27294024024923,57.76483319800547,94.6286293587628
50.0,0.9284997289062192,-51.74087744745989,91.3199966328296,51.578099545440615,67.36222465369251
10.0,2.5283628403160407,32.204924599058806,78.83880776730116,54.18832447609928,82.07938954694134
10.0,2.9747229026399262,30.4797734760804,80.38320354587589,65.22366808367094,94.68712862175543
40.0,5.873846755218755,-15.969779222976904,80.53264969384712,40.26062451277897,60.50309283251466
50.0,1.023353569261276,-52.44580157582399,93.05868427252,49.234564522095795,63.520012313
20.0,1.3057087623002337,-42.795281361821104,80.18499091317048,51.3008837303836,76.29592665561808
10.0,2.826968170761836,32.361968902133796,83.67782500953884,62.113771696162274,86.5476758323017
